TradeType,DistrictOfficeCode,DistrictOfficeName,CountryOfOrigin,CountryOfOriginName,CountryOfDestination,CountryOfDestinationName,Tariff,StatisticalUnit,TransportCode,TransportCodeDescription,YearMonth,CalendarYear,Section,SectionAndDescription,Chapter,ChapterAndDescription,TariffAndDescription,StatisticalQuantity,CustomsValue,WorldRegion
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062200,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062200 - Livers,54026.68,237749,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",60696.86,497049,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,45072,367064,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02072700,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02072700 - Cuts And Offal, Frozen",23340,203859,OCEANIA
Imports,CLP,Caledonspoort,LS,Lesotho,ZA,South Africa,02071300,KG,03,Road,201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071300 - Cuts And Offal, Fresh Or Chilled",124,21350,AFRICA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071290,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,26914.8,290326,AMERICA
Imports,CTN,Cape Town,CA,Canada,ZA,South Africa,02032200,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02032200 - Hams, Shoulders And Cuts Thereof, With Bone In",24810.78,309860,AMERICA
Imports,CTN,Cape Town,CA,Canada,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,426020,2802234,AMERICA
Imports,CTN,Cape Town,DK,Denmark,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,49017.54,903338,EUROPE
Imports,CTN,Cape Town,FR,France,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,71690,1028520,EUROPE
Imports,CLP,Caledonspoort,LS,Lesotho,ZA,South Africa,02071490,KG,03,Road,201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,695,695,AFRICA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02089090,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02089090 - Other,127529.59,2047487,OCEANIA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071410,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071410 - Boneless cuts,25005,80739,AMERICA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02044200,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02044200 - Other Cuts With Bone In,2583.25,34577,OCEANIA
Imports,CTN,Cape Town,AU,Australia,ZA,South Africa,02062900,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02062900 - Other,54161.26,343125,OCEANIA
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",6992,36898,AMERICA
Imports,CTN,Cape Town,CA,Canada,ZA,South Africa,02032990,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032990 - Other,210825.01,2490622,AMERICA
Imports,CTN,Cape Town,CA,Canada,ZA,South Africa,02090000,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02090000 - Pig Fat, Free Of Lean Meat, And Poultry Fat, Not Rendered Or Otherwise Extracted, Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked",53922.66,347492,AMERICA
Imports,CTN,Cape Town,DE,Germany,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",24723.5,202493,EUROPE
Imports,CTN,Cape Town,BR,Brazil,ZA,South Africa,02071490,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071490 - Other,1324980.21,10996002,AMERICA
Imports,CTN,Cape Town,BE,Belgium,ZA,South Africa,02032910,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02032910 - Rib,51640,426736,EUROPE
Imports,DBN,Durban,AR,Argentina,ZA,South Africa,02071200,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071200 - Not Cut In Pieces, Frozen",103810,372681,AMERICA
Imports,DBN,Durban,BR,Brazil,ZA,South Africa,02050000,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02050000 - Meat Of Horses, Asses, Mules Or Hinnies, Fresh, Chilled Or Frozen",25700,332722,AMERICA
Imports,CTN,Cape Town,NZ,New Zealand,ZA,South Africa,02069000,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02069000 - Other, Frozen",89725.28,717776,OCEANIA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071200,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,"02071200 - Not Cut In Pieces, Frozen",51878,441798,AMERICA
Imports,CTN,Cape Town,AR,Argentina,ZA,South Africa,02071290,KG,00,Transport mode not specified (Unknown - Other),201001,2010,1,1 - Live animals,02,02 - Meat and edible meat offal,02071290 - Other,25005,70079,AMERICA
