Region,Country Code,Country,Date,Year,Month,Meat Type,Description,Quantity,Value
OCEANIA,AU,Australia,2010-01-01,2010,1,Beef Offals - Frozen,Livers,54.026,237749
OCEANIA,AU,Australia,2010-01-01,2010,1,Pork Offals - Frozen,"Other, Frozen",60.696,497049
OCEANIA,AU,Australia,2010-01-01,2010,1,Chicken,Other,45.072,367064
OCEANIA,AU,Australia,2010-01-01,2010,1,Chicken,"Cuts And Offal, Frozen",23.34,203859
AFRICA,LS,Lesotho,2010-01-01,2010,1,Chicken,"Cuts And Offal, Fresh Or Chilled",0.124,21350
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Other,26.914,290326
AMERICA,CA,Canada,2010-01-01,2010,1,Pork,"Hams, Shoulders And Cuts Thereof, With Bone In",24.81,309860
AMERICA,CA,Canada,2010-01-01,2010,1,Chicken,Other,426.02,2802234
EUROPE,DK,Denmark,2010-01-01,2010,1,Pork,Rib,49.017,903338
EUROPE,FR,France,2010-01-01,2010,1,Pork,Rib,71.69,1028520
AFRICA,LS,Lesotho,2010-01-01,2010,1,Chicken,Other,0.695,695
OCEANIA,AU,Australia,2010-01-01,2010,1,Other,Other,127.529,2047487
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Boneless cuts,25.005,80739
OCEANIA,AU,Australia,2010-01-01,2010,1,Sheep/Goat,Other Cuts With Bone In,2.583,34577
OCEANIA,AU,Australia,2010-01-01,2010,1,Beef Offals - Frozen,Other,54.161,343125
AMERICA,BR,Brazil,2010-01-01,2010,1,Pork Offals - Frozen,"Other, Frozen",6.992,36898
AMERICA,CA,Canada,2010-01-01,2010,1,Pork,Other,210.825,2490622
AMERICA,CA,Canada,2010-01-01,2010,1,Fat,"Pig Fat, Free Of Lean Meat, And Poultry Fat, Not Rendered Or Otherwise Extracted, Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked",53.922,347492
EUROPE,DE,Germany,2010-01-01,2010,1,Pork Offals - Frozen,"Other, Frozen",24.723,202493
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Other,1324.98,10996002
EUROPE,BE,Belgium,2010-01-01,2010,1,Pork,Rib,51.64,426736
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,"Not Cut In Pieces, Frozen",103.81,372681
AMERICA,BR,Brazil,2010-01-01,2010,1,Horse,"Meat Of Horses, Asses, Mules Or Hinnies, Fresh, Chilled Or Frozen",25.7,332722
OCEANIA,NZ,New Zealand,2010-01-01,2010,1,Pork Offals - Frozen,"Other, Frozen",89.725,717776
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,"Not Cut In Pieces, Frozen",51.878,441798
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Other,25.005,70079
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Mechanically deboned meat,661.174,1959694
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,"Cuts And Offal, Frozen",53.9,902368
AMERICA,CA,Canada,2010-01-01,2010,1,Pork,Other,381.933,4462700
AMERICA,CA,Canada,2010-01-01,2010,1,Fat,"Pig Fat, Free Of Lean Meat, And Poultry Fat, Not Rendered Or Otherwise Extracted, Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked",75.187,413574
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Mechanically deboned meat,102.9,327098
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Other,23.25,156442
OCEANIA,AU,Australia,2010-01-01,2010,1,Beef Offals - Frozen,Tongues,56.714,730547
OCEANIA,NZ,New Zealand,2010-01-01,2010,1,Sheep/Goat,Other Cuts With Bone In,56.855,856224
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Boneless cuts,393.669,5337500
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Offal,84.484,313329
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Mechanically deboned meat,5481.607,16111576
EUROPE,ES,Spain,2010-01-01,2010,1,Pork,Rib,21.6,434028
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Boneless cuts,1273.245,19160445
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Other,2132.571,18967920
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,"Cuts And Offal, Frozen",542.94,4722406
OCEANIA,NZ,New Zealand,2010-01-01,2010,1,Beef Offals - Frozen,Livers,38.062,299420
OCEANIA,NZ,New Zealand,2010-01-01,2010,1,Beef Offals - Frozen,Other,44.73,290700
AMERICA,CA,Canada,2010-01-01,2010,1,Pork,"Hams, Shoulders And Cuts Thereof, With Bone In",128.734,1553421
AMERICA,CA,Canada,2010-01-01,2010,1,Beef Offals - Frozen,Other,25.015,228563
AMERICA,CA,Canada,2010-01-01,2010,1,Chicken,Other,378.894,3067156
AMERICA,US,United States,2010-01-01,2010,1,Chicken,"Cuts And Offal, Frozen",24.494,170935
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,"Not Cut In Pieces, Frozen",50.154,442333
OCEANIA,NZ,New Zealand,2010-01-01,2010,1,Beef - Frozen,Boneless,7.647,72779
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Other,28.0,312216
EUROPE,DE,Germany,2010-01-01,2010,1,Fat,"Pig Fat, Free Of Lean Meat, And Poultry Fat, Not Rendered Or Otherwise Extracted, Fresh, Chilled, Frozen, Salted, In Brine, Dried Or Smoked",24.988,128861
AMERICA,CA,Canada,2010-01-01,2010,1,Chicken,"Cuts And Offal, Frozen",172.974,1407544
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Mechanically deboned meat,639.45,1911066
EUROPE,IE,Ireland,2010-01-01,2010,1,Pork,Rib,123.415,1610476
EUROPE,DE,Germany,2010-01-01,2010,1,Pork,Rib,165.923,1366420
EUROPE,ES,Spain,2010-01-01,2010,1,Pork Offals - Frozen,Other,27.332,219731
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Other,300.49,2366702
OCEANIA,AU,Australia,2010-01-01,2010,1,Sheep/Goat,Boneless,17.026,506482
OCEANIA,AU,Australia,2010-01-01,2010,1,Beef Offals - Frozen,Tongues,56.954,705342
OCEANIA,AU,Australia,2010-01-01,2010,1,Beef Offals - Frozen,Livers,360.224,2653085
EUROPE,IE,Ireland,2010-01-01,2010,1,Pork Offals - Frozen,Other,48.4,186118
AMERICA,AR,Argentina,2010-01-01,2010,1,Chicken,Offal,526.995,1651092
EUROPE,BE,Belgium,2010-01-01,2010,1,Pork,Rib,25.03,223887
OCEANIA,AU,Australia,2010-01-01,2010,1,Beef - Frozen,Other Cuts With Bone In,190.537,2656525
OCEANIA,AU,Australia,2010-01-01,2010,1,Sheep/Goat,Other Cuts With Bone In,233.263,2064660
OCEANIA,AU,Australia,2010-01-01,2010,1,Pork Offals - Frozen,"Other, Frozen",183.35,1379413
AMERICA,BR,Brazil,2010-01-01,2010,1,Chicken,Offal,591.782,3226450
EUROPE,IT,Italy,2010-01-01,2010,1,Smoked/In Brine/Salted Pork,Other,7.279,621261
EUROPE,FR,France,2010-01-01,2010,1,Pork,Rib,148.5,2613638
